_id,Source,Source_ID,Location,Artist,Title,Medium,ArtForm,Status,ImageName,ImageURL,ThumbURL,ImageAltText,WARD,WARD_FULLNAME,YEAR_INSTALLED,Description,OwnedBy,CommissionedBy,PublicArtConsultant,ImageOrientation,ExternalLink,ExternalLinkText,geometry
1,Public Art & Monuments Collection - City-Owned,534,various locations,"Eunson, Scott / Lovink, Marianne",Bike Plants,weathering Corten steel,Functional Art,Existing,bikeplants.jpg,https://www.toronto.ca/ext/pln/publicart/bikeplants.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/bikeplants.jpg,Image of artwork: Bike Plants,11,University-Rosedale,2011,None,None,None,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3652211, 43.6836427]]}"
2,Public Art & Monuments Collection - City-Owned,581,Spadina Ave and Bloor Street,"Schelle, Susan / Gomes, Mark",Bloor Parkette,"sandstone, limestone, stainless steel",Functional Art,Existing,bloorparkette1.jpg,https://www.toronto.ca/ext/pln/publicart/bloorparkette1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/bloorparkette1.jpg,Image of artwork: Bloor Parkette,11,University-Rosedale,1997,None,None,None,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.403884, 43.666635]]}"
3,Public Art & Monuments Collection - City-Owned,575,"Carlaw Avenue, and Gerrard Street","Revington, Dereck",Blue Fire,aluminum,Light Installation,Existing,bluefire.jpg,https://www.toronto.ca/ext/pln/publicart/bluefire.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/bluefire.jpg,Image of artwork: Blue Fire,14,Toronto-Danforth,1997,None,None,None,None,portrait,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.342756, 43.667619]]}"
4,Public Art & Monuments Collection - City-Owned,502,"York Mills Road and Yonge Street, York Mills Park","Alison, Adrienne",C.W. Jeffereys Memorial,"bronze, granite",Sculpture,Existing,jeffereys.jpg,https://www.toronto.ca/ext/pln/publicart/jeffereys.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/jeffereys.jpg,Image of artwork: C.W. Jeffereys Memorial,8,Eglinton-Lawrence,2001,None,None,None,None,portrait,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.406628, 43.744097]]}"
5,Public Art & Monuments Collection - City-Owned,653,University Avenue and Dundas Street,"Nemon, Oscar",Canadian Airman's Memorial,"bronze, masonry",Sculpture,Existing,airmen1.jpg,https://www.toronto.ca/ext/pln/publicart/airmen1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/airmen1.jpg,Image of artwork: Canadian Airman's Memorial,10,Spadina-Fort York,1984,None,None,None,None,portrait,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.388361, 43.654917]]}"
6,Public Art & Monuments Collection - City-Owned,590,Gerrard Street East and Broadview Avenue,Unknown,Chinese Lions,marble,Sculpture,Existing,chineselions.jpg,https://www.toronto.ca/ext/pln/publicart/chineselions.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/chineselions.jpg,Image of artwork: Chinese Lions,14,Toronto-Danforth,2004,None,None,None,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.352607, 43.665479]]}"
7,Public Art & Monuments Collection - City-Owned,559,"Lake Shore Boulevard East and Coxwell Avenue, Woodbine Park","McGugan, Laurie",Circle of Trees,"bronze, botanical (living Maple trees, landscaping materials)",Landscape Feature,Existing,circleoftrees2.jpg,https://www.toronto.ca/ext/pln/publicart/circleoftrees2.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/circleoftrees2.jpg,Image of artwork: Circle of Trees,19,Beaches - East York,2000,None,None,None,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.315002, 43.664961]]}"
8,Public Art & Monuments Collection - City-Owned,593,Scarborough Civic Centre,"Yagi, Yoshio",Cloud Sensor,masonry,Sculpture,Existing,cloudsensor.jpg,https://www.toronto.ca/ext/pln/publicart/cloudsensor.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/cloudsensor.jpg,Image of artwork: Cloud Sensor,21,Scarborough Centre,1994,None,None,None,None,portrait,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2586, 43.7709]]}"
9,Public Art & Monuments Collection - City-Owned,585,Yonge Street (at Mel Lastman Square) Empress Avenue and Norton Avenue,"Sprachman, Robert",The Dance,painted steel,Sculpture,Existing,thedance.jpg,https://www.toronto.ca/ext/pln/publicart/thedance.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/thedance.jpg,Image of artwork: The Dance,18,Willowdale,1998,None,None,None,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.41253781, 43.76785066]]}"
10,Public Art & Monuments Collection - City-Owned,546,Dawes Road and Victoria Park Avenue,"Harding, Noel",Dawes Crossing,"wood, mixed metal, glass, landscaping",Infrastructure,Existing,dawescrossing.jpg,https://www.toronto.ca/ext/pln/publicart/dawescrossing.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/dawescrossing.jpg,Image of artwork: Dawes Crossing,20,Scarborough Southwest,2012,None,None,None,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.295098, 43.706783]]}"
